Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
Republic of Adygea,2019,1.89,80.07,2.93,0.84,0.53,0.44,0.19,6.2
Republic of Kalmykia,2019,1.11,19.00,3.63,0.23,0.43,0.05,0.16,3.1
Republic of Crimea,2019,4.40,46.38,4.12,1.65,1.03,0.65,0.27,5.8
Krasnodar Krai,2019,3.83,37.92,3.25,1.50,0.81,0.29,0.28,4.8
Astrakhan Oblast,2019,1.88,33.43,3.93,0.56,0.60,0.20,0.29,4.5
Volgograd Oblast,2019,2.17,32.68,3.01,0.95,0.57,0.21,0.30,4.1
Rostov Oblast,2019,2.02,29.83,2.57,0.98,0.59,0.30,0.24,3.8
Sevastopol,2019,5.46,34.93,5.54,2.81,1.27,0.81,0.37,6.3
Republic of Dagestan,2019,0.25,4.42,0.89,0.09,0.21,0.00,0.01,0.7
Republic of Ingushetia,2019,0.03,0.54,0.26,0.00,0.02,0.00,0.01,0.2
Kabardino-Balkar Republic,2019,0.36,9.87,0.43,0.17,0.17,0.02,0.02,0.9
Karachay-Cherkess Republic,2019,0.54,29.17,0.90,0.21,0.18,0.02,0.08,2.1
Republic of North Ossetia-Alania,2019,0.34,3.21,0.32,0.33,0.12,0.03,0.02,0.5
Chechen Republic,2019,0.02,0.62,0.12,0.00,0.01,0.00,0.00,0.1
Stavropol Krai,2019,1.67,18.77,2.02,0.76,0.47,0.10,0.24,2.7
Republic of Bashkortostan,2019,2.36,41.64,5.68,0.69,0.53,0.22,0.63,5.7
Mari El Republic,2019,2.48,41.76,6.46,0.54,0.68,0.24,0.73,6.5
Republic of Mordovia,2019,1.84,33.55,5.35,0.56,0.41,0.21,0.33,5.
Republic of Tatarstan,2019,2.47,46.28,6.84,0.60,0.77,0.27,0.56,6.6
Udmurt Republic,2019,2.96,98.52,8.52,0.71,0.71,0.47,0.57,10.
Chuvash Republic,2019,2.18,37.24,6.83,0.48,0.53,0.18,0.93,6.1
Perm Krai,2019,3.59,51.59,5.91,0.79,0.82,0.39,0.51,6.7
Kirov Oblast,2019,3.86,61.23,8.17,0.99,0.73,0.31,0.51,8.3
Nizhny Novgorod Oblast,2019,4.57,43.30,6.64,1.57,0.84,0.57,0.72,7.1
Orenburg Oblast,2019,2.46,38.08,3.83,0.74,0.42,0.17,0.34,4.8
Penza Oblast,2019,2.17,45.80,4.21,0.63,0.47,0.33,0.65,5.5
Samara Oblast,2019,3.35,56.22,4.01,0.99,0.73,0.40,0.43,6.1
Saratov Oblast,2019,2.22,41.12,2.59,0.69,0.50,0.28,0.29,4.3
Ulyanovsk Oblast,2019,2.66,41.45,4.02,0.78,0.61,0.32,0.40,5.2
Kurgan Oblast,2019,2.59,51.65,3.11,0.79,0.43,0.21,0.32,5.3
Sverdlovsk Oblast,2019,4.72,61.57,5.37,1.21,0.89,0.42,0.53,7.4
Khanty–Mansi Autonomous Okrug – Yugra,2019,3.28,51.69,5.90,1.39,1.16,0.38,0.56,6.8
Yamalo-Nenets Autonomous Okrug,2019,3.59,59.93,7.61,1.65,1.54,0.40,0.68,8.4
Chelyabinsk Oblast,2019,3.56,41.96,4.23,1.06,0.64,0.37,0.51,5.5
Tyumen Oblast,2019,3.42,43.52,4.63,1.09,0.66,0.50,0.39,5.7
Altai Republic,2019,2.28,42.78,4.73,0.35,0.35,0.10,0.20,5.2
Tuva Republic,2019,0.73,18.68,1.91,0.36,0.18,0.03,0.04,2.
Republic of Khakassia,2019,2.26,58.15,2.66,0.82,0.43,0.13,0.23,4.9
Altai Krai,2019,2.33,58.07,3.98,0.54,0.36,0.17,0.28,5.8
Krasnoyarsk Krai,2019,3.17,39.52,4.37,1.18,0.74,0.22,0.39,5.2
Irkutsk Oblast,2019,3.37,61.44,5.39,0.96,0.53,0.39,0.52,6.9
Kemerovo Oblast,2019,2.49,60.86,5.13,0.78,0.65,0.26,0.36,6.5
Novosibirsk Oblast,2019,3.54,54.96,3.75,0.93,0.62,0.86,0.31,5.8
Omsk Oblast,2019,2.73,32.83,2.97,0.93,0.50,0.25,0.29,4.2
Tomsk Oblast,2019,3.19,50.39,4.36,0.99,0.76,0.23,0.35,6.
Republic of Buryatia,2019,1.91,46.50,5.95,0.38,0.30,0.28,0.21,5.9
Sakha (Yakutia) Republic,2019,2.36,30.61,6.71,1.12,0.61,0.21,0.23,5.5
Zabaykalsky Krai,2019,2.51,37.34,5.00,0.43,0.28,0.17,0.29,5.3
Kamchatka Krai,2019,4.65,69.67,9.49,2.40,1.59,0.62,0.59,10.
Primorsky Krai,2019,4.13,61.23,6.75,1.54,1.00,0.50,0.65,7.9
Khabarovsk Krai,2019,3.57,66.19,8.98,2.00,1.09,0.82,0.68,9.4
Amur Oblast,2019,3.52,56.87,6.51,0.99,0.66,0.65,0.49,7.3
Magadan Oblast,2019,4.37,60.20,11.99,2.31,1.77,0.28,0.63,10.7
Sakhalin Oblast,2019,4.85,65.16,12.62,2.58,1.45,0.49,0.66,11.5
Jewish Autonomous Oblast,2019,2.56,62.54,7.89,0.90,0.60,0.40,0.53,8.5
Chukotka Autonomous Okrug,2019,2.88,46.30,11.42,1.65,1.63,0.05,0.34,8.7
Belgorod Oblast,2020,2.06,46.46,3.63,0.80,0.39,0.88,0.22,4.8
Bryansk Oblast,2020,2.88,44.74,4.28,0.87,0.57,0.46,0.85,5.7
Vladimir Oblast,2020,4.18,52.35,6.89,1.03,0.92,0.54,0.84,7.6
Voronezh Oblast,2020,2.89,35.52,3.94,1.09,0.70,0.53,0.52,5.
Ivanovo Oblast,2020,3.77,51.45,5.95,0.92,0.71,0.41,0.87,7.
Kaluga Oblast,2020,4.49,47.44,6.41,1.36,1.00,0.54,0.85,7.2
Kostroma Oblast,2020,3.98,55.76,7.67,0.91,0.78,0.32,0.79,7.9
Kursk Oblast,2020,2.44,38.13,3.66,1.04,0.62,0.42,0.48,4.9
Lipetsk Oblast,2020,2.80,43.47,4.22,0.94,0.61,0.46,0.54,5.4
Moscow Oblast,2020,6.82,56.95,7.80,2.24,1.54,0.79,0.87,9.2
Oryol Oblast,2020,2.83,41.50,3.97,1.14,0.69,0.47,0.55,5.4
Ryazan Oblast,2020,3.41,56.24,4.55,1.11,0.71,0.67,0.59,6.5
Smolensk Oblast,2020,3.80,51.72,6.49,1.32,1.02,0.46,0.63,7.4
Tambov Oblast,2020,2.06,34.30,3.47,0.67,0.49,0.34,0.40,4.3
Tver Oblast,2020,4.48,50.96,7.22,1.32,0.99,0.57,0.95,7.8
